snr_db,drop_index,radius_m,azimuth_deg,los,scheme,estimator,crc_ok,bit_errors,nmse,selected_ssb,reference_power,normalized_selected_ssb_power
20.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse_ssb_pdp,True,0,0.0012112343785209308,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse_ideal_covariance,True,0,0.0012112343785210574,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse_ssb_pdp,True,0,0.0010341120227494059,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse_ideal_covariance,True,0,0.0010341120227278882,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse_ssb_pdp,True,0,0.0011225020533844785,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse_per_beam_pdp,True,0,0.0011024711971161672,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse_ideal_covariance,True,0,0.0011024711971161431,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse_cdd_ssb_pdp,True,0,0.0003296063118036958,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse_cdd_per_beam_pdp,True,0,0.00032950877216785933,0,6.475757054028239e-10,1.0
20.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse_ideal_covariance,True,0,0.0003140531409691511,0,6.475757054028239e-10,1.0
